,0,1,2,3
0,15.0,7,7.410645498080187,23287.72
0,15.0,9,7.531856869570236,21317.46
0,15.0,11,5.826841842196881,18431.36
0,15.0,10,5.67459178522695,21388.28
0,15.0,12,2.35594113407632,21707.72
0,15.0,15,2.019511085865088,19145.760000000002
0,15.0,16,1.5577299169031904,17747.0
0,15.0,13,0.0,15466.0
0,16.0,0,25.187666480871854,17507.200000000004
0,16.0,1,25.76845519333147,21035.41999999999
0,16.0,3,23.89323143652181,18448.739999999998
0,16.0,2,21.91191747282772,14864.860000000004
0,16.0,5,17.598009562911464,18553.959999999992
0,16.0,4,16.71475612402428,16953.68
0,16.0,6,15.637228254834188,15979.840000000004
0,16.0,8,13.12231497859705,18380.40000000001
0,16.0,7,8.904646786466248,23192.64
0,16.0,9,9.877913759825075,21200.059999999998
0,16.0,11,8.299827676964922,18332.32
0,16.0,10,7.987783081037924,21294.46
0,16.0,12,3.760517985946253,21669.160000000003
0,16.0,15,4.013936361670495,19102.14
0,16.0,16,3.4185607260558757,17710.699999999997
0,16.0,13,1.4065777520416305,15452.64
0,16.0,18,0.0,18871.0
0,17.0,0,25.54182075767084,17271.060000000005
0,17.0,1,27.603458055062227,20711.359999999993
0,17.0,3,19.641983371255982,18440.14
0,17.0,2,22.220440085803855,14661.680000000004
0,17.0,5,20.08742498815991,18293.19999999999
0,17.0,4,19.159498320869172,16715.940000000002
0,17.0,6,17.206317584076896,15790.240000000005
0,17.0,8,15.162955143811477,18197.16000000001
0,17.0,7,10.912228514767259,23067.4
0,17.0,9,11.503474678531544,21074.1
0,17.0,11,10.789869136735796,18201.5
0,17.0,10,9.557086234213786,21188.299999999996
0,17.0,12,5.397119078449659,21611.5
0,17.0,15,6.604402697761544,19023.68
0,17.0,16,5.232656542561017,17653.539999999994
0,17.0,13,3.0458356867311527,15421.119999999999
0,17.0,18,1.8595439730910583,18852.620000000003
0,17.0,14,0.0,21755.0
0,17.0,17,0.0,18032.0
0,18.0,0,25.553366730359897,17049.680000000008
0,18.0,1,29.903170646354564,20335.77999999999
0,18.0,3,19.439231847301187,18281.78
0,18.0,2,22.943809581374516,14436.960000000003
0,18.0,5,22.443034567264842,18013.55999999999
0,18.0,4,20.318307513774077,16503.5
0,18.0,6,18.52933736059349,15592.700000000004
0,18.0,8,17.312215248282364,17984.90000000001
0,18.0,7,12.335914537218406,22935.760000000002
0,18.0,9,13.350544066577474,20922.839999999997
0,18.0,11,12.703048627055248,18056.58
0,18.0,10,11.81350752154831,21048.199999999997
0,18.0,12,7.697668617628269,21521.64
0,18.0,15,8.915901550487616,18918.660000000003
0,18.0,16,7.439593017869629,17567.679999999993
0,18.0,13,5.064791348134168,15364.96
0,18.0,18,4.444395968085155,18801.760000000002
0,18.0,14,1.8905944116879256,21736.260000000002
0,18.0,17,1.4096811686642468,18018.6
0,19.0,0,25.79091900475095,16815.76000000001
0,19.0,1,27.848807359634762,20194.79999999999
0,19.0,3,19.21180945979903,18126.18
0,19.0,2,22.338218354772543,14268.400000000001
0,19.0,5,24.284396694530738,17730.819999999992
0,19.0,4,21.097206150351727,16295.300000000001
0,19.0,6,21.112052061827857,15325.000000000004
0,19.0,8,19.253205164192543,17744.70000000001
0,19.0,7,14.565742162220186,22761.96
0,19.0,9,15.909588923388416,20724.64
0,19.0,11,15.239385139476505,17867.64
0,19.0,10,13.794378981622868,20888.339999999997
0,19.0,12,9.10390473342476,21425.54
0,19.0,15,11.464487266493961,18778.320000000007
0,19.0,16,8.134427398863759,17490.679999999993
0,19.0,13,6.749343464057893,15291.439999999999
0,19.0,18,7.00339893521741,18718.420000000006
0,19.0,14,4.228061512415298,21688.920000000006
0,19.0,17,2.976185991056263,17988.019999999997
0,20.0,0,24.912021873306998,16638.26000000001
0,20.0,1,23.99379609176782,20159.499999999985
0,20.0,3,19.186575946216532,17964.18
0,20.0,2,22.70488198005012,14059.68
0,20.0,5,25.69253032777925,17445.83999999999
0,20.0,4,20.920297828579955,16122.700000000003
0,20.0,6,23.268258804152726,15043.440000000002
0,20.0,8,20.89205997564953,17508.640000000014
0,20.0,7,15.872787483386702,22594.120000000003
0,20.0,9,18.094789613354276,20507.739999999998
0,20.0,11,17.639730865950693,17650.72
